kambeng_LHipAngles_x,kambeng_LHipAngles_y,kambeng_LHipAngles_z,kambeng_LKneeAngles_x,kambeng_LKneeAngles_y,kambeng_LKneeAngles_z,kambeng_RHipAngles_x,kambeng_RHipAngles_y,kambeng_RHipAngles_z,kambeng_RKneeAngles_x,kambeng_RKneeAngles_y,kambeng_RKneeAngles_z,kambeng_LShoulderAngles_x,kambeng_LShoulderAngles_y,kambeng_LShoulderAngles_z,kambeng_LElbowAngles_x,kambeng_LElbowAngles_y,kambeng_LElbowAngles_z,kambeng_LWristAngles_x,kambeng_LWristAngles_y,kambeng_LWristAngles_z,kambeng_RShoulderAngles_x,kambeng_RShoulderAngles_y,kambeng_RShoulderAngles_z,kambeng_RElbowAngles_x,kambeng_RElbowAngles_y,kambeng_RElbowAngles_z,kambeng_RWristAngles_x,kambeng_RWristAngles_y,kambeng_RWristAngles_z,impur_LHipAngles_x,impur_LHipAngles_y,impur_LHipAngles_z,impur_LKneeAngles_x,impur_LKneeAngles_y,impur_LKneeAngles_z,impur_RHipAngles_x,impur_RHipAngles_y,impur_RHipAngles_z,impur_RKneeAngles_x,impur_RKneeAngles_y,impur_RKneeAngles_z,impur_LShoulderAngles_x,impur_LShoulderAngles_y,impur_LShoulderAngles_z,impur_LElbowAngles_x,impur_LElbowAngles_y,impur_LElbowAngles_z,impur_LWristAngles_x,impur_LWristAngles_y,impur_LWristAngles_z,impur_RShoulderAngles_x,impur_RShoulderAngles_y,impur_RShoulderAngles_z,impur_RElbowAngles_x,impur_RElbowAngles_y,impur_RElbowAngles_z,impur_RWristAngles_x,impur_RWristAngles_y,impur_RWristAngles_z,kagok-kinantang_LHipAngles_x,kagok-kinantang_LHipAngles_y,kagok-kinantang_LHipAngles_z,kagok-kinantang_LKneeAngles_x,kagok-kinantang_LKneeAngles_y,kagok-kinantang_LKneeAngles_z,kagok-kinantang_RHipAngles_x,kagok-kinantang_RHipAngles_y,kagok-kinantang_RHipAngles_z,kagok-kinantang_RKneeAngles_x,kagok-kinantang_RKneeAngles_y,kagok-kinantang_RKneeAngles_z,kagok-kinantang_LShoulderAngles_x,kagok-kinantang_LShoulderAngles_y,kagok-kinantang_LShoulderAngles_z,kagok-kinantang_LElbowAngles_x,kagok-kinantang_LElbowAngles_y,kagok-kinantang_LElbowAngles_z,kagok-kinantang_LWristAngles_x,kagok-kinantang_LWristAngles_y,kagok-kinantang_LWristAngles_z,kagok-kinantang_RShoulderAngles_x,kagok-kinantang_RShoulderAngles_y,kagok-kinantang_RShoulderAngles_z,kagok-kinantang_RElbowAngles_x,kagok-kinantang_RElbowAngles_y,kagok-kinantang_RElbowAngles_z,kagok-kinantang_RWristAngles_x,kagok-kinantang_RWristAngles_y,kagok-kinantang_RWristAngles_z,kalang-kinantang_LHipAngles_x,kalang-kinantang_LHipAngles_y,kalang-kinantang_LHipAngles_z,kalang-kinantang_LKneeAngles_x,kalang-kinantang_LKneeAngles_y,kalang-kinantang_LKneeAngles_z,kalang-kinantang_RHipAngles_x,kalang-kinantang_RHipAngles_y,kalang-kinantang_RHipAngles_z,kalang-kinantang_RKneeAngles_x,kalang-kinantang_RKneeAngles_y,kalang-kinantang_RKneeAngles_z,kalang-kinantang_LShoulderAngles_x,kalang-kinantang_LShoulderAngles_y,kalang-kinantang_LShoulderAngles_z,kalang-kinantang_LElbowAngles_x,kalang-kinantang_LElbowAngles_y,kalang-kinantang_LElbowAngles_z,kalang-kinantang_LWristAngles_x,kalang-kinantang_LWristAngles_y,kalang-kinantang_LWristAngles_z,kalang-kinantang_RShoulderAngles_x,kalang-kinantang_RShoulderAngles_y,kalang-kinantang_RShoulderAngles_z,kalang-kinantang_RElbowAngles_x,kalang-kinantang_RElbowAngles_y,kalang-kinantang_RElbowAngles_z,kalang-kinantang_RWristAngles_x,kalang-kinantang_RWristAngles_y,kalang-kinantang_RWristAngles_z,kambeng-dhengklik_LHipAngles_x,kambeng-dhengklik_LHipAngles_y,kambeng-dhengklik_LHipAngles_z,kambeng-dhengklik_LKneeAngles_x,kambeng-dhengklik_LKneeAngles_y,kambeng-dhengklik_LKneeAngles_z,kambeng-dhengklik_RHipAngles_x,kambeng-dhengklik_RHipAngles_y,kambeng-dhengklik_RHipAngles_z,kambeng-dhengklik_RKneeAngles_x,kambeng-dhengklik_RKneeAngles_y,kambeng-dhengklik_RKneeAngles_z,kambeng-dhengklik_LShoulderAngles_x,kambeng-dhengklik_LShoulderAngles_y,kambeng-dhengklik_LShoulderAngles_z,kambeng-dhengklik_LElbowAngles_x,kambeng-dhengklik_LElbowAngles_y,kambeng-dhengklik_LElbowAngles_z,kambeng-dhengklik_LWristAngles_x,kambeng-dhengklik_LWristAngles_y,kambeng-dhengklik_LWristAngles_z,kambeng-dhengklik_RShoulderAngles_x,kambeng-dhengklik_RShoulderAngles_y,kambeng-dhengklik_RShoulderAngles_z,kambeng-dhengklik_RElbowAngles_x,kambeng-dhengklik_RElbowAngles_y,kambeng-dhengklik_RElbowAngles_z,kambeng-dhengklik_RWristAngles_x,kambeng-dhengklik_RWristAngles_y,kambeng-dhengklik_RWristAngles_z,jatayu_LHipAngles_x,jatayu_LHipAngles_y,jatayu_LHipAngles_z,jatayu_LKneeAngles_x,jatayu_LKneeAngles_y,jatayu_LKneeAngles_z,jatayu_RHipAngles_x,jatayu_RHipAngles_y,jatayu_RHipAngles_z,jatayu_RKneeAngles_x,jatayu_RKneeAngles_y,jatayu_RKneeAngles_z,jatayu_LShoulderAngles_x,jatayu_LShoulderAngles_y,jatayu_LShoulderAngles_z,jatayu_LElbowAngles_x,jatayu_LElbowAngles_y,jatayu_LElbowAngles_z,jatayu_LWristAngles_x,jatayu_LWristAngles_y,jatayu_LWristAngles_z,jatayu_RShoulderAngles_x,jatayu_RShoulderAngles_y,jatayu_RShoulderAngles_z,jatayu_RElbowAngles_x,jatayu_RElbowAngles_y,jatayu_RElbowAngles_z,jatayu_RWristAngles_x,jatayu_RWristAngles_y,jatayu_RWristAngles_z
129.969864,-75.239944,43.546097,113.744606,34.804871,-2.148058,61.710152,-37.605667,-19.445688,152.172531,1.112498,-1.022184,0.68177,55.406242,4.417067,89.776009,0,0,-44.691372,23.447266,51.523323,-13.83466,42.913979,48.496742,80.924034,0,0,70.784988,-11.283977,162.240845,119.630791,-49.69862,27.939232,139.762985,28.160187,128.632294,37.50156,-46.62603,-44.680508,152.460861,1.207783,2.671413,1.525378,41.14373,-7.85611,59.296547,0,0,0.472,-31.261124,67.072716,-13.22075,44.417294,65.835281,98.195786,0,0,-126.151642,32.795151,11.175689,105.109146,-62.182014,12.929859,133.579712,30.302868,33.04282,46.576851,-47.862267,-31.997383,150.629868,0.046241,-1.285603,3.853078,42.355789,-8.995603,58.356209,0,0,2.607522,-31.350012,59.686893,-19.366304,41.553829,53.73333,74.777634,0,0,69.475952,-12.014304,166.520966,75.837654,-60.976246,-21.852764,106.932846,19.933342,-4.039146,48.570644,-67.530968,-22.239847,152.543457,-5.646306,1.270498,-7.276707,49.706593,0.202275,72.949692,0,0,2.819749,-26.854614,48.865818,-18.928841,45.346622,54.786522,78.149063,0,0,64.685341,-12.991106,162.528214,137.780243,-108.608444,34.709583,115.155815,6.967844,6.193213,60.779785,-50.557011,-0.966039,149.489716,-14.030494,1.865701,11.732339,78.408447,13.029263,95.377556,0,0,47.842663,2.603724,148.829987,-7.758832,18.257324,-9.704931,44.141479,0,0,8.962746,-0.538905,133.953354,121.530441,-49.907722,29.390219,122.987564,35.486652,-21.975874,39.44561,-51.29792,-46.200016,152.371521,0.946448,1.117058,-1.376917,45.181759,-2.70724,62.38884,0,0,-2.162529,-23.735964,67.747627,-14.834983,41.53059,53.904068,73.024841,0,0,-110.5382,-165.341537,-13.003145
131.264404,-75.241295,44.878014,113.940453,34.680386,-2.002406,61.077129,-37.639416,-20.125843,152.106186,0.950148,-1.100607,0.824725,55.538334,5.064104,90.167168,0,0,-43.427376,25.070265,52.428501,-13.417116,43.490028,49.46455,81.215607,0,0,70.329254,-11.123908,162.667221,119.62825,-49.794361,27.876415,139.744308,28.06735,128.846191,37.472656,-46.610596,-44.696114,152.454819,1.168254,2.673747,1.5506,41.090439,-7.937187,59.226074,0,0,0.502649,-31.409796,67.158409,-13.244713,44.420654,65.805656,98.218071,0,0,-126.157333,32.776016,11.192704,105.168907,-62.364105,12.989363,133.390778,30.461142,31.846228,46.93885,-47.807827,-31.83436,150.664261,0.002144,-1.274327,3.865054,42.439007,-9.015443,58.250652,0,0,2.56034,-31.191431,59.741043,-19.254494,41.548092,53.798325,74.802055,0,0,69.393196,-12.094748,166.498199,75.465416,-60.843658,-22.24655,106.800102,19.891954,-4.141074,48.51001,-67.635117,-22.272709,152.518738,-5.658812,1.259677,-7.317106,49.719429,0.203928,72.913406,0,0,2.655157,-26.699207,49.002197,-18.884968,45.329937,54.770855,78.141342,0,0,64.664597,-13.026478,162.480881,142.383896,-108.244331,38.676338,114.936989,6.27964,6.272617,61.577625,-51.146477,0.054146,149.621368,-14.064894,1.890758,11.845263,79.01844,12.415854,95.114609,0,0,48.435993,2.026564,149.403564,-7.466537,17.793911,-10.683308,44.124573,0,0,8.270596,0.051787,131.969833,121.511307,-50.041725,29.422426,122.98027,35.518085,-21.936802,39.507301,-51.290642,-46.056725,152.376129,0.931213,1.113011,-1.283516,45.082222,-2.884079,62.237244,0,0,-1.792125,-24.155638,67.811913,-14.886298,41.447529,53.837799,73.008209,0,0,-110.609306,-165.415131,-13.032508
132.503632,-75.243866,46.144897,114.134567,34.541676,-1.848844,60.460915,-37.673679,-20.761913,152.045898,0.792403,-1.169523,0.971118,55.681046,5.694972,90.543808,0,0,-42.106087,26.676453,53.429382,-13.031447,44.012783,50.342529,81.509003,0,0,69.892761,-10.960045,163.060043,119.630486,-49.889282,27.822645,139.728592,27.978493,129.059448,37.447948,-46.593395,-44.710133,152.448883,1.130454,2.675483,1.575318,41.040565,-8.013499,59.157791,0,0,0.528983,-31.548025,67.242104,-13.26595,44.423882,65.777832,98.238632,0,0,-126.162567,32.758465,11.208958,105.226044,-62.543797,13.044403,133.203369,30.609694,30.660694,47.280582,-47.755692,-31.679731,150.696411,-0.042142,-1.263611,3.877032,42.524078,-9.025596,58.15271,0,0,2.515344,-31.035194,59.789448,-19.14411,41.544022,53.862686,74.827354,0,0,69.309097,-12.172016,166.474701,75.103104,-60.710949,-22.632496,106.668663,19.850266,-4.236542,48.455891,-67.73658,-22.299328,152.495499,-5.669483,1.249724,-7.355195,49.733379,0.207308,72.874924,0,0,2.493983,-26.540356,49.148685,-18.839251,45.312965,54.755249,78.134148,0,0,64.64389,-13.062873,162.436066,147.129593,-108.02504,42.760887,114.71785,5.582044,6.37256,62.396523,-51.711365,1.075208,149.730209,-14.11259,1.907979,11.947062,79.616676,11.815403,94.848984,0,0,49.018665,1.470663,149.959976,-7.154859,17.362776,-11.661434,44.113663,0,0,7.58173,0.62882,130.013763,121.499405,-50.172916,29.459166,122.973801,35.547321,-21.902712,39.571484,-51.279011,-45.917572,152.38063,0.917205,1.109488,-1.197656,44.991364,-3.046139,62.098763,0,0,-1.464445,-24.552946,67.861176,-14.934128,41.373829,53.782036,72.996529,0,0,-110.677109,-165.480423,-13.061721
133.690445,-75.248253,47.349968,114.32692,34.388863,-1.688164,59.861233,-37.708534,-21.354979,151.991425,0.639285,-1.229174,1.120855,55.834293,6.309388,90.906029,0,0,-40.7243,28.259817,54.527981,-12.678165,44.483032,51.132782,81.799545,0,0,69.478653,-10.794488,163.42009,119.637466,-49.983379,27.777931,139.715775,27.893658,129.272049,37.427471,-46.574478,-44.722618,152.44313,1.094341,2.676632,1.59952,40.994148,-8.08498,59.091682,0,0,0.550937,-31.675518,67.32415,-13.284466,44.426956,65.751823,98.257492,0,0,-126.16732,32.742508,11.224451,105.280479,-62.721317,13.094918,133.017853,30.748428,29.488369,47.602505,-47.705956,-31.532978,150.726425,-0.086611,-1.25351,3.889047,42.611019,-9.026053,58.062408,0,0,2.472393,-30.881105,59.832066,-19.035187,41.541599,53.926353,74.853554,0,0,69.223747,-12.246124,166.450485,74.750534,-60.578182,-23.010756,106.538559,19.80834,-4.325521,48.408398,-67.835411,-22.319597,152.47374,-5.678325,1.240656,-7.390941,49.748474,0.212452,72.834206,0,0,2.33629,-26.378162,49.305412,-18.791716,45.295658,54.73967,78.127495,0,0,64.62323,-13.100284,162.393829,151.935974,-107.95311,46.883217,114.498688,4.875632,6.492503,63.235729,-52.251358,2.096598,149.816177,-14.172887,1.917548,12.037663,80.203156,11.228153,94.581207,0,0,49.589642,0.935871,150.498398,-6.823634,16.96368,-12.641161,44.106407,0,0,6.898215,1.189674,128.095886,121.494789,-50.301304,29.500471,122.968132,35.574348,-21.873688,39.638142,-51.263046,-45.782471,152.385071,0.904428,1.106505,-1.119353,44.909172,-3.193195,61.973282,0,0,-1.179903,-24.926456,67.896973,-14.978504,41.309494,53.736809,72.989754,0,0,-110.74157,-165.537323,-13.090791
134.827652,-75.254936,48.496346,114.51757,34.222111,-1.520309,59.27784,-37.744064,-21.906059,151.942657,0.490785,-1.279765,1.273833,55.998024,6.907092,91.253975,0,0,-39.278885,29.814154,55.726143,-12.35767,44.901615,51.837486,82.083122,0,0,69.0895,-10.629017,163.748276,119.649193,-50.076653,27.742363,139.705902,27.812895,129.484055,37.411198,-46.55381,-44.73349,152.437485,1.059965,2.677188,1.623208,40.951191,-8.151618,59.027725,0,0,0.568741,-31.792433,67.404137,-13.300267,44.429855,65.727615,98.27462,0,0,-126.171638,32.728149,11.239223,105.332169,-62.896896,13.140756,132.834503,30.877226,28.331043,47.905094,-47.658703,-31.393534,150.754379,-0.131213,-1.244033,3.901128,42.699799,-9.016956,57.979721,0,0,2.43155,-30.729389,59.868977,-18.927752,41.540825,53.989273,74.880646,0,0,69.137184,-12.317122,166.425629,74.407631,-60.445427,-23.381378,106.409836,19.766197,-4.407935,48.367546,-67.931572,-22.333502,152.453445,-5.685351,1.232462,-7.424376,49.764709,0.219352,72.791328,0,0,2.181819,-26.212481,49.472286,-18.742338,45.278038,54.724144,78.121361,0,0,64.602623,-13.138719,162.354126,156.716751,-108.027367,50.95853,114.279716,4.161077,6.631736,64.094345,-52.766167,3.117579,149.879211,-14.24519,1.919658,12.116996,80.777878,10.654296,94.31179,0,0,50.148037,0.421978,151.018341,-6.472682,16.596386,-13.624042,44.100513,0,0,6.222072,1.732368,126.225365,121.497383,-50.426945,29.546497,122.963318,35.599285,-21.849752,39.707199,-51.242767,-45.651314,152.38942,0.892905,1.104082,-1.048655,44.835667,-3.325053,61.860775,0,0,-0.938905,-25.274742,67.919952,-15.019427,41.254547,53.702137,72.987862,0,0,-110.802666,-165.585724,-13.119765
135.917892,-75.264397,49.587006,114.706528,34.04158,-1.34595,58.710583,-37.780342,-22.416094,151.899399,0.346898,-1.321549,1.429948,56.172146,7.487858,91.587761,0,0,-37.766773,31.33354,57.025463,-12.070291,45.269382,52.458866,82.356216,0,0,68.727394,-10.465013,164.045654,119.665733,-50.169067,27.715834,139.698898,27.736101,129.695175,37.399117,-46.531391,-44.742832,152.431976,1.027279,2.677143,1.646373,40.911671,-8.213411,58.965916,0,0,0.582406,-31.898567,67.482208,-13.313336,44.432602,65.705208,98.290031,0,0,-126.175446,32.715378,11.253307,105.381027,-63.070778,13.181885,132.653671,30.996044,27.190542,48.188759,-47.613976,-31.260983,150.780334,-0.175961,-1.235258,3.913303,42.790424,-8.998303,57.904705,0,0,2.392697,-30.580027,59.900097,-18.821821,41.541706,54.051418,74.908676,0,0,69.0494,-12.385014,166.400238,74.074257,-60.31274,-23.744497,106.28244,19.72389,-4.483785,48.333477,-68.025093,-22.340885,152.434647,-5.690553,1.225139,-7.455478,49.782089,0.228044,72.746277,0,0,2.030585,-26.043365,49.649372,-18.691135,45.260101,54.708649,78.115761,0,0,64.582085,-13.178157,162.316971,161.389435,-108.242943,54.905945,114.061188,3.439239,6.789546,64.971336,-53.255581,4.137334,149.91922,-14.32889,1.91444,12.185028,81.340813,10.094052,94.041237,0,0,50.693047,-0.071192,151.519333,-6.10184,16.260658,-14.611393,44.093872,0,0,5.555072,2.255431,124.409515,121.507195,-50.54987,29.597244,122.959343,35.622112,-21.830894,39.778629,-51.218204,-45.524021,152.393723,0.882647,1.102224,-0.985552,44.77084,-3.441504,61.761166,0,0,-0.741702,-25.596447,67.931664,-15.056923,41.209026,53.677998,72.990799,0,0,-110.860336,-165.625519,-13.148682
136.963882,-75.277008,50.624928,114.893837,33.847385,-1.165175,58.15926,-37.817425,-22.886093,151.861526,0.207539,-1.354726,1.589092,56.356575,8.051442,91.907539,0,0,-36.185146,32.811867,58.427444,-11.81625,45.587151,52.9991,82.615829,0,0,68.393906,-10.30358,164.313416,119.687042,-50.26062,27.698486,139.694794,27.663422,129.905533,37.391239,-46.50724,-44.750618,152.426605,0.996305,2.676499,1.669026,40.875587,-8.270323,58.906216,0,0,0.592017,-31.993954,67.558434,-13.323709,44.435192,65.684593,98.303734,0,0,-126.178833,32.704208,11.266591,105.427032,-63.24316,13.2183,132.475708,31.104906,26.068502,48.453907,-47.571846,-31.134823,150.804352,-0.220818,-1.227171,3.925602,42.882896,-8.970197,57.837379,0,0,2.355608,-30.432802,59.925587,-18.71743,41.544224,54.112736,74.937668,0,0,68.960495,-12.449819,166.374329,73.750282,-60.180183,-24.100149,106.15641,19.681473,-4.553007,48.306198,-68.115974,-22.341774,152.417297,-5.693956,1.21868,-7.484248,49.800652,0.238532,72.699066,0,0,1.882665,-25.870932,49.836533,-18.638103,45.241814,54.69318,78.11071,0,0,64.561539,-13.218607,162.282288,165.882706,-108.591789,58.656033,113.843178,2.711267,6.965167,65.86554,-53.719444,5.15488,149.936172,-14.423454,1.902083,12.241666,81.89196,9.547541,93.769958,0,0,51.223953,-0.544034,152.001068,-5.710908,15.956271,-15.604209,44.084515,0,0,4.898718,2.757842,122.653915,121.5242,-50.670116,29.652845,122.956245,35.642906,-21.817278,39.852406,-51.189384,-45.400471,152.398026,0.873654,1.100974,-0.930074,44.714729,-3.542357,61.67445,0,0,-0.58863,-25.889906,67.933044,-15.090981,41.17289,53.664337,72.998489,0,0,-110.914589,-165.656662,-13.177503
137.968124,-75.293152,51.612823,115.079483,33.639629,-0.978482,57.623791,-37.85535,-23.316887,151.828857,0.072668,-1.379519,1.751155,56.551243,8.59772,92.213493,0,0,-34.531395,34.243176,59.933189,-11.595715,45.855762,53.460274,82.859444,0,0,68.09024,-10.145571,164.552612,119.713188,-50.351303,27.690245,139.693542,27.594736,130.114929,37.387531,-46.481323,-44.756859,152.421356,0.967032,2.675251,1.691156,40.84293,-8.322363,58.848629,0,0,0.597604,-32.078491,67.632721,-13.33135,44.43763,65.665779,98.31572,0,0,-126.181732,32.694618,11.279206,105.470116,-63.414234,13.249806,132.300827,31.203691,24.966454,48.700905,-47.532345,-31.014629,150.826508,-0.265759,-1.21981,3.93807,42.977184,-8.932676,57.777702,0,0,2.320547,-30.288088,59.945393,-18.614622,41.548401,54.173145,74.967613,0,0,68.870468,-12.51158,166.347977,73.43557,-60.047832,-24.44842,106.031784,19.639011,-4.615658,48.285767,-68.204201,-22.336105,152.401413,-5.695553,1.213104,-7.510695,49.820362,0.250794,72.649719,0,0,1.737908,-25.695198,50.033932,-18.583244,45.223198,54.677788,78.106201,0,0,64.541069,-13.260036,162.250122,170.14119,-109.063347,62.155323,113.625801,1.978337,7.157803,66.775658,-54.157661,6.169079,149.930038,-14.528349,1.882783,12.286881,82.43129,9.014947,93.498428,0,0,51.740089,-0.996722,152.46347,-5.299731,15.683043,-16.603333,44.070732,0,0,4.254199,3.238965,120.962265,121.54834,-50.787731,29.713255,122.953987,35.661674,-21.808756,39.928474,-51.156372,-45.280575,152.402313,0.865928,1.100333,-0.882232,44.667347,-3.627358,61.600628,0,0,-0.480031,-26.152918,67.925499,-15.121603,41.146214,53.661053,73.010841,0,0,-110.965408,-165.679092,-13.206238
138.932938,-75.31311,52.553352,115.263565,33.418552,-0.786055,57.104046,-37.89415,-23.709326,151.80127,-0.057784,-1.396155,1.915991,56.756058,9.126531,92.505791,0,0,-32.803436,35.621761,61.543411,-11.408753,46.076035,53.844395,83.084991,0,0,67.81723,-9.99159,164.764435,119.744141,-50.44109,27.691143,139.695129,27.530111,130.323288,37.38802,-46.453655,-44.761593,152.416245,0.939468,2.673399,1.712744,40.813717,-8.369477,58.79314,0,0,0.599379,-32.152256,67.705025,-13.336291,44.439907,65.648781,98.325974,0,0,-126.184181,32.686646,11.291071,105.510246,-63.584198,13.276446,132.129333,31.29249,23.885641,48.930115,-47.495518,-30.900028,150.846878,-0.310776,-1.213207,3.95073,43.073303,-8.885813,57.725719,0,0,2.287218,-30.145613,59.959503,-18.513412,41.554199,54.23262,74.998535,0,0,68.779442,-12.570303,166.32132,73.12999,-59.915722,-24.789488,105.908524,19.596474,-4.67168,48.272232,-68.289803,-22.323824,152.387009,-5.695351,1.208384,-7.534771,49.84124,0.264858,72.59819,0,0,1.596355,-25.516171,50.241596,-18.526594,45.204247,54.662457,78.102234,0,0,64.520622,-13.302427,162.220367,174.12764,-109.645584,65.368752,113.409081,1.241925,7.366719,67.700211,-54.570202,7.178665,149.900818,-14.643082,1.856687,12.320618,82.958748,8.496405,93.226967,0,0,52.240982,-1.429683,152.906326,-4.868146,15.440743,-17.609461,44.050995,0,0,3.622496,3.698508,119.336876,121.579498,-50.902763,29.778488,122.952568,35.678471,-21.805523,40.006802,-51.119221,-45.16415,152.406631,0.859487,1.100329,-0.842047,44.628796,-3.696279,61.539688,0,0,-0.416002,-26.383266,67.910469,-15.148743,41.128956,53.668022,73.027702,0,0,-111.012749,-165.692825,-13.234934
139.86084,-75.337143,53.449261,115.446121,33.184292,-0.588117,56.599957,-37.933811,-24.064219,151.778595,-0.18391,-1.404846,2.083471,56.970943,9.637744,92.784683,0,0,-30.999575,36.941868,63.25816,-11.255334,46.248718,54.153309,83.290817,0,0,67.57534,-9.842107,164.949905,119.779945,-50.529972,27.701105,139.699509,27.469473,130.530426,37.392685,-46.424248,-44.764801,152.41127,0.913586,2.670958,1.733807,40.78793,-8.411674,58.739731,0,0,0.597261,-32.21513,67.77536,-13.338525,44.442039,65.63356,98.334518,0,0,-126.186142,32.680244,11.302199,105.547363,-63.753216,13.298162,131.961563,31.371332,22.827564,49.14188,-47.461384,-30.790627,150.865494,-0.35584,-1.207386,3.963623,43.171276,-8.829712,57.681404,0,0,2.255662,-30.005499,59.96814,-18.413837,41.561584,54.291096,75.030441,0,0,68.687401,-12.626035,166.294296,72.833473,-59.783947,-25.123354,105.786659,19.553949,-4.72106,48.26569,-68.372734,-22.304903,152.374054,-5.693354,1.204519,-7.556477,49.863308,0.280708,72.544556,0,0,1.457828,-25.333956,50.459274,-18.468126,45.184925,54.647202,78.098801,0,0,64.500282,-13.345769,162.193069,177.822144,-110.325806,68.278625,113.192963,0.503558,7.590858,68.637642,-54.957111,8.182275,149.848495,-14.767164,1.824062,12.34284,83.474312,7.99202,92.956009,0,0,52.726109,-1.843309,153.329987,-4.416025,15.229178,-18.623127,44.024036,0,0,3.004159,4.136506,117.778496,121.617554,-51.015285,29.848528,122.952011,35.693336,-21.807495,40.087364,-51.078018,-45.051094,152.411011,0.85431,1.100968,-0.809552,44.599102,-3.748876,61.491695,0,0,-0.396691,-26.577995,67.889542,-15.172326,41.121181,53.685032,73.048882,0,0,-111.056602,-165.697876,-13.263507
140.754028,-75.365402,54.302998,115.627235,32.937038,-0.384979,56.111492,-37.974327,-24.382429,151.760712,-0.305847,-1.405826,2.25343,57.195721,10.131251,93.050285,0,0,-29.118738,38.198002,65.077194,-11.13538,46.374626,54.388721,83.475662,0,0,67.364723,-9.697395,165.110092,119.820572,-50.617943,27.720247,139.706726,27.412907,130.736511,37.40152,-46.393082,-44.766491,152.406403,0.889425,2.667916,1.754333,40.765587,-8.448936,58.688381,0,0,0.591428,-32.267078,67.843498,-13.338062,44.444023,65.620155,98.34137,0,0,-126.187637,32.67543,11.312562,105.581482,-63.921471,13.314856,131.797699,31.440187,21.793177,49.33654,-47.429962,-30.686026,150.882446,-0.400925,-1.20233,3.976782,43.271053,-8.764389,57.64481,0,0,2.225776,-29.86771,59.971149,-18.315947,41.570587,54.348503,75.063324,0,0,68.594444,-12.678777,166.267044,72.545784,-59.652534,-25.450211,105.666191,19.51145,-4.763811,48.266125,-68.453041,-22.279268,152.362564,-5.689532,1.201537,-7.575797,49.886536,0.29834,72.488747,0,0,1.322473,-25.148623,50.687164,-18.407866,45.165272,54.632107,78.095917,0,0,64.480011,-13.390014,162.16803,181.219452,-111.091438,70.882179,112.977325,-0.234949,7.829431,69.586212,-55.318481,9.178393,149.773132,-14.900129,1.785091,12.353494,83.977959,7.501907,92.685883,0,0,53.195114,-2.237932,153.734406,-3.94327,15.048175,-19.644793,43.988838,0,0,2.399507,4.553185,116.286636,121.662361,-51.125355,29.923294,122.95224,35.706345,-21.814726,40.170162,-51.032875,-44.94112,152.415482,0.850425,1.102314,-0.784742,44.578369,-3.78475,61.456722,0,0,-0.422214,-26.733463,67.864662,-15.192286,41.12289,53.711769,73.074112,0,0,-111.096992,-165.69426,-13.291953
141.6147,-75.398048,55.117107,115.806992,32.677113,-0.176758,55.638638,-38.015652,-24.664738,151.747437,-0.423724,-1.399347,2.425723,57.430286,10.606951,93.302856,0,0,-27.160583,39.384846,66.999199,-11.048714,46.454529,54.552158,83.638649,0,0,67.185303,-9.557648,165.245941,119.866089,-50.704979,27.748529,139.716705,27.360344,130.941254,37.414524,-46.360134,-44.766666,152.401672,0.866968,2.664274,1.774333,40.746658,-8.481263,58.639072,0,0,0.581982,-32.308262,67.909698,-13.334919,44.445854,65.608543,98.346519,0,0,-126.188675,32.672192,11.322203,105.612549,-64.089111,13.326546,131.638,31.499168,20.783373,49.514408,-47.401249,-30.585884,150.897736,-0.446001,-1.198069,3.990231,43.372639,-8.690009,57.615891,0,0,2.197587,-29.732405,59.968685,-18.219761,41.581169,54.404812,75.097214,0,0,68.500572,-12.728556,166.239563,72.266838,-59.521545,-25.7701,105.547112,19.469044,-4.8,48.273598,-68.530716,-22.246935,152.352539,-5.683905,1.199415,-7.592672,49.910957,0.317754,72.430809,0,0,1.190123,-24.960306,50.925064,-18.345835,45.145229,54.617165,78.093597,0,0,64.459801,-13.435143,162.145264,184.325546,-111.930428,73.187889,112.762016,-0.971795,8.081417,70.543991,-55.654484,10.165313,149.674759,-15.04154,1.740069,12.352571,84.46962,7.026161,92.416931,0,0,53.647709,-2.614051,154.11998,-3.449839,14.897535,-20.674963,43.944588,0,0,1.808559,4.948962,114.859917,121.713699,-51.233055,30.002651,122.953239,35.717499,-21.827213,40.255146,-50.983898,-44.834091,152.420105,0.847819,1.104369,-0.767638,44.566719,-3.803553,61.434807,0,0,-0.492356,-26.845673,67.838097,-15.208499,41.134109,53.74786,73.103065,0,0,-111.133904,-165.682129,-13.32021
